season,season_label,from_group,to_group,total_fee_eur,transfer_count,known_fee_count,unknown_fee_count,free_transfer_count
2025,2025/26,Other Europe,Ligue 1,231480000.0,79,79,0,47
2025,2025/26,Serie A,Other Europe,226050000.0,94,89,5,59
2025,2025/26,Premier League,Bundesliga,218300000.0,29,29,0,19
2025,2025/26,Outside Europe / Unknown,Bundesliga,198550000.0,146,102,44,61
2025,2025/26,Outside Europe / Unknown,Serie A,191770000.0,157,138,19,99
2025,2025/26,La Liga,La Liga,184550000.0,85,85,0,60
2025,2025/26,Ligue 1,Outside Europe / Unknown,182992000.0,104,81,23,60
2025,2025/26,Premier League,Ligue 1,181900000.0,37,37,0,23
2025,2025/26,Ligue 1,Serie A,175100000.0,30,30,0,16
2025,2025/26,Outside Europe / Unknown,La Liga,173520000.0,129,89,40,64
2025,2025/26,Ligue 1,Ligue 1,159050000.0,55,54,1,35
2025,2025/26,Bundesliga,Outside Europe / Unknown,150150000.0,99,89,10,67
2025,2025/26,Serie A,Outside Europe / Unknown,132500000.0,144,113,31,96
2025,2025/26,Premier League,La Liga,129000000.0,24,24,0,18
2025,2025/26,Other Europe,La Liga,117700000.0,33,33,0,22
2025,2025/26,Ligue 1,Other Europe,115420000.0,87,86,1,59
2025,2025/26,Bundesliga,Bundesliga,110050000.0,61,60,1,41
2025,2025/26,Serie A,La Liga,95000000.0,22,22,0,16
2025,2025/26,Premier League,Serie A,92780000.0,24,24,0,18
2025,2025/26,Ligue 1,Bundesliga,87000000.0,20,20,0,11
2025,2025/26,Bundesliga,Other Europe,78470000.0,75,73,2,52
2025,2025/26,Outside Europe / Unknown,Ligue 1,70130000.0,162,87,75,66
2025,2025/26,La Liga,Serie A,68500000.0,17,17,0,13
2025,2025/26,La Liga,Outside Europe / Unknown,67800000.0,80,70,10,61
2025,2025/26,Premier League,Other Europe,61600000.0,52,51,1,43
2025,2025/26,La Liga,Other Europe,60475000.0,39,39,0,29
2025,2025/26,Ligue 1,La Liga,47500000.0,16,16,0,11
2025,2025/26,La Liga,Ligue 1,46700000.0,12,12,0,6
2025,2025/26,La Liga,Bundesliga,45000000.0,5,5,0,3
2025,2025/26,Bundesliga,Serie A,33300000.0,12,12,0,9
2025,2025/26,Bundesliga,Ligue 1,20000000.0,17,16,1,10
2025,2025/26,Serie A,Ligue 1,12750000.0,21,21,0,18
2025,2025/26,Serie A,Bundesliga,10000000.0,10,10,0,9
2025,2025/26,Bundesliga,La Liga,7000000.0,5,5,0,3
